vault_id,bank_id,start_x,end_x,start_y,end_y,z
17,9,128,255,12,15,4
17,10,128,255,8,11,5
17,11,128,255,12,15,5
17,12,128,255,8,11,6
17,13,128,255,12,15,6
17,14,128,255,8,11,7
17,15,128,255,12,15,7
18,0,128,255,16,19,0
18,1,128,255,20,23,0
18,2,128,255,16,19,1
18,3,128,255,20,23,1
18,4,128,255,16,19,2
18,5,128,255,20,23,2
18,6,128,255,16,19,3
18,7,128,255,20,23,3
18,8,128,255,16,19,4
18,9,128,255,20,23,4
18,10,128,255,16,19,5
18,11,128,255,20,23,5
18,12,128,255,16,19,6
18,13,128,255,20,23,6
18,14,128,255,16,19,7
18,15,128,255,20,23,7
19,0,128,255,24,27,0
19,1,128,255,28,31,0
19,2,128,255,24,27,1
19,3,128,255,28,31,1
19,4,128,255,24,27,2
19,5,128,255,28,31,2
19,6,128,255,24,27,3
19,7,128,255,28,31,3
19,8,128,255,24,27,4
19,9,128,255,28,31,4
19,10,128,255,24,27,5
19,11,128,255,28,31,5
19,12,128,255,24,27,6
19,13,128,255,28,31,6
19,14,128,255,24,27,7
19,15,128,255,28,31,7
20,0,128,255,32,35,0
20,1,128,255,36,39,0
20,2,128,255,32,35,1
20,3,128,255,36,39,1
20,4,128,255,32,35,2
20,5,128,255,36,39,2
20,6,128,255,32,35,3
20,7,128,255,36,39,3
20,8,128,255,32,35,4
20,9,128,255,36,39,4
20,10,128,255,32,35,5
20,11,128,255,36,39,5
20,12,128,255,32,35,6
20,13,128,255,36,39,6
20,14,128,255,32,35,7
20,15,128,255,36,39,7
21,0,128,255,40,43,0
21,1,128,255,44,47,0
21,2,128,255,40,43,1
21,3,128,255,44,47,1
21,4,128,255,40,43,2
21,5,128,255,44,47,2
21,6,128,255,40,43,3
21,7,128,255,44,47,3
21,8,128,255,40,43,4
21,9,128,255,44,47,4
21,10,128,255,40,43,5
21,11,128,255,44,47,5
21,12,128,255,40,43,6
21,13,128,255,44,47,6
21,14,128,255,40,43,7
21,15,128,255,44,47,7
22,0,128,255,48,51,0
22,1,128,255,52,55,0
22,2,128,255,48,51,1
22,3,128,255,52,55,1
22,4,128,255,48,51,2
22,5,128,255,52,55,2
22,6,128,255,48,51,3
22,7,128,255,52,55,3
22,8,128,255,48,51,4
22,9,128,255,52,55,4
22,10,128,255,48,51,5
22,11,128,255,52,55,5
22,12,128,255,48,51,6
22,13,128,255,52,55,6
22,14,128,255,48,51,7
22,15,128,255,52,55,7
23,0,128,255,56,59,0
23,1,128,255,60,63,0
23,2,128,255,56,59,1
23,3,128,255,60,63,1
23,4,128,255,56,59,2
23,5,128,255,60,63,2
23,6,128,255,56,59,3
23,7,128,255,60,63,3
23,8,128,255,56,59,4
23,9,128,255,60,63,4
23,10,128,255,56,59,5
23,11,128,255,60,63,5
23,12,128,255,56,59,6
23,13,128,255,60,63,6
23,14,128,255,56,59,7
23,15,128,255,60,63,7
24,0,128,255,64,67,0
24,1,128,255,68,71,0
24,2,128,255,64,67,1
24,3,128,255,68,71,1
24,4,128,255,64,67,2
24,5,128,255,68,71,2
24,6,128,255,64,67,3
24,7,128,255,68,71,3
24,8,128,255,64,67,4
24,9,128,255,68,71,4
24,10,128,255,64,67,5
24,11,128,255,68,71,5
24,12,128,255,64,67,6
24,13,128,255,68,71,6
24,14,128,255,64,67,7
24,15,128,255,68,71,7
25,0,128,255,72,75,0
25,1,128,255,76,79,0
25,2,128,255,72,75,1
25,3,128,255,76,79,1
25,4,128,255,72,75,2
25,5,128,255,76,79,2
25,6,128,255,72,75,3
